what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201102110609,"org.eclipse.cdt.dsf.gdb",1374937966805
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201102110609,"org.eclipse.cdt.dsf.gdb.ui",1374937966806
started,bundle,com.python.pydev.analysis,2.6.0.2012062818,"com.python.pydev.analysis",1374937967277
started,bundle,org.python.pydev,2.6.0.2012062818,"org.python.pydev",1374937967551
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201102110609,"org.eclipse.cdt.debug.mi.core",1374937967564
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374937968018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938005268
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1374938012570
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1374938012699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938014418
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938023944
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1374938028237
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938030238
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938038119
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1374938048860
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938050978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938053561
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1374938056882
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938059347
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938063518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938065904
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1374938209354
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1374938214779
